,Country,People,Total_number_of_astronaut ,Number_of_Satilites,,,Purpose,Amount,,Launches,Name,Flight_Time
,,,,,,,,,,,Guion Bluford,000:00:287
,,,,,,,,,,,Vladislav Volkov,000:00:288
,,,,,,,,,,,George D. Zamka,000:00:289
,,,,,,,,,,,Marc Garneau,000:00:290
,,,,,,,,,,,"Jean-François Clervoy, EAC",000:00:291
,,,,,,,,,,,Kevin P. Chilton,000:00:292
,,,,,,,,,,,Kathryn Hire,000:00:293
,,,,,,,,,,,Carl Meade,000:00:294
,,,,,,,,,,,G. David Low,000:00:295
,,,,,,,,,,,Jim Lovell,000:00:296
,,,,,,,,,,,Steven R. Nagel,000:00:297
,,,,,,,,,,,"Rhea Seddon, M.D.",000:00:298
,,,,,,,,,,,David M. Walker,000:00:299
,,,,,,,,,,,Daniel Barry,000:00:300
,,,,,,,,,,,Viktor Gorbatko,000:00:301
,,,,,,,,,,,Vance Brand,000:00:302
,,,,,,,,,,,Takao Doi,000:00:303
,,,,,,,,,,,Gregory H. Johnson,000:00:304
,,,,,,,,,,,Kalpana Chawla,000:00:305
,,,,,,,,,,,Richard Hieb,000:00:306
,,,,,,,,,,,Steven Hawley,000:00:307
,,,,,,,,,,,Chen Dong,000:00:308
,,,,,,,,,,,Mark C. Lee,000:00:309
,,,,,,,,,,,Daniel Brandenstein,000:00:310
,,,,,,,,,,,Paul Weitz,000:00:311
,,,,,,,,,,,Michael J. Bloomfield,000:00:312
,,,,,,,,,,,Janet L. Kavandi,000:00:313
,,,,,,,,,,,Richard N. Richards,000:00:314
,,,,,,,,,,,Stephen Oswald,000:00:315
,,,,,,,,,,,Thomas Akers,000:00:316
,,,,,,,,,,,Gregory Harbaugh,000:00:317
,,,,,,,,,,,John Casper,000:00:318
,,,,,,,,,,,John Young,000:00:319
,,,,,,,,,,,Jerome Apt,000:00:320
,,,,,,,,,,,Piers Sellers,000:00:321
,,,,,,,,,,,Charles Hobaugh,000:00:322
,,,,,,,,,,,James F. Reilly,000:00:323
